Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY
Date,,,,,,,,,,,,,,,,,,,,
2025-07-17,,,,624.4583740234375,,,,624.8163671275224,,,,620.6204015046147,,,,620.8391784397268,,,,68885700.0
2025-07-18,,,,624.0010375976562,,,,625.8802131347736,,,,622.8874296174818,,,,625.7111996075373,,,,65621600.0
2025-07-19,117939.9765625,,,,118541.3984375,,,,117388.4140625,,,,117998.125,,,,47564562765.0,,,
2025-07-20,117300.7890625,,,,118865.03125,,,,116550.1328125,,,,117944.109375,,,,57515447231.0,,,
2025-07-21,117439.5390625,1.1630746126174927,23342.0,625.1842651367188,119671.5625,1.1716736555099487,23424.75,627.9384270926762,116584.3984375,1.1614941358566284,23203.75,624.7567246264017,117306.46875,1.1630746126174927,23232.5,625.1842651367188,69820091744.0,0.0,398833.0,63375000.0
2025-07-22,119995.4140625,1.1694538593292236,23226.25,625.2737426757812,120269.96875,1.174936294555664,23367.0,626.1387764125508,116233.2265625,1.1680059432983398,23108.0,622.6189860590433,117426.5,1.1694538593292236,23339.5,625.5123643014988,79217583118.0,0.0,537829.0,60046300.0
2025-07-23,118754.9609375,1.1739156246185303,23310.75,630.5932006835938,120113.3515625,1.1752538681030273,23418.0,630.5932006835938,117391.390625,1.1712344884872437,23146.75,626.138708302101,119997.4453125,1.1739156246185303,23191.25,627.9483363497261,66608604537.0,0.0,512963.0,70511000.0
2025-07-24,118368.0,1.1774264574050903,23377.5,630.802001953125,119535.453125,1.1787587404251099,23424.5,632.5221773472229,117247.96875,1.1733232736587524,23298.25,630.3744614468128,118770.984375,1.1774264574050903,23402.25,630.9809681636451,72627318560.0,0.0,435559.0,71307100.0
2025-07-25,117635.8828125,1.1756131649017334,23421.25,633.4667358398438,118486.9765625,1.1760693788528442,23476.0,633.9440397736063,114759.8203125,1.1707408428192139,23330.75,631.2196750953526,118368.0,1.1756131649017334,23391.5,631.4682494008442,104857024569.0,0.0,395469.0,56865400.0
2025-07-26,117947.3671875,,,,118335.6875,,,,117181.2265625,,,,117644.84375,,,,48508954046.0,,,
2025-07-27,119448.4921875,,,,119815.59375,,,,117859.6875,,,,117944.7265625,,,,54683390892.0,,,
2025-07-28,117924.4765625,1.1756821870803833,23491.25,633.3076782226562,119819.7890625,1.1770660877227783,23585.25,634.4013808975731,117441.4375,1.1609952449798584,23436.75,631.9156378299562,119457.5234375,1.1756821870803833,23520.0,633.8445768779104,64822943193.0,0.0,424393.0,54917100.0
2025-07-29,117922.1484375,1.1596757173538208,23452.0,631.6372680664062,119273.8671875,1.160092830657959,23652.5,635.0277949185313,116987.3671875,1.1519941091537476,23421.25,630.722531607152,117938.5859375,1.1596757173538208,23504.25,634.7096125224674,68463107433.0,0.0,538169.0,60556300.0
2025-07-30,117831.1875,1.1550945043563843,23480.5,630.841796875,118780.7265625,1.157273530960083,23689.0,634.0434045947875,115800.828125,1.1459347009658813,23356.5,627.9384054781906,117921.9921875,1.1550945043563843,23452.0,632.2934318863223,68896148592.0,0.0,538732.0,80418900.0
2025-07-31,115758.203125,1.1429355144500732,23365.0,628.475341796875,118919.984375,1.1460267305374146,23845.0,636.200989166749,115505.21875,1.1406540870666504,23290.5,627.1728149946817,117833.6328125,1.1429355144500732,23705.0,635.8132594113927,69370346018.0,0.0,739642.0,103385200.0
