Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY,BTC-USD,EURUSD=X,NQ=F,SPY
Date,,,,,,,,,,,,,,,,,,,,
2016-01-23,387.4909973144531,,,,394.5429992675781,,,,381.9809875488281,,,,382.4339904785156,,,,56247400,,,
2016-01-24,402.97100830078125,,,,405.4849853515625,,,,387.510009765625,,,,388.10198974609375,,,,54824800,,,
2016-01-25,391.72601318359375,1.079901933670044,4186.75,159.03211975097656,402.3169860839844,1.0850000381469727,4260.0,161.15943667851778,388.5539855957031,1.079202651977539,4179.25,158.83718952179737,402.3169860839844,1.079901933670044,4247.5,160.96450644933861,59062400,0.0,287599.0,130371700.0
2016-01-26,392.15301513671875,1.0853049755096436,4226.75,161.20184326171875,397.7659912109375,1.0879995822906494,4243.75,161.48153255877082,390.57501220703125,1.082000494003296,4133.0,159.35421527396116,392.00201416015625,1.0853756666183472,4190.0,159.69322554967775,58147000,0.0,327223.0,141036800.0
2016-01-27,394.97198486328125,1.0864958763122559,4127.0,159.44740295410156,396.8429870605469,1.091200351715088,4218.75,162.35445345168475,391.7820129394531,1.0853049755096436,4102.0,158.540530660685,392.4440002441406,1.0864014625549316,4195.25,160.67633104471955,47424400,0.0,408523.0,185681700.0
2016-01-28,380.28900146484375,1.090798020362854,4153.75,160.27796936035156,395.50201416015625,1.0950000286102295,4199.0,161.20178300893429,379.7349853515625,1.0870002508163452,4106.75,158.62527225224298,395.14599609375,1.0904054641723633,4150.25,160.9983820924952,59247900,0.0,414082.0,143798800.0
2016-01-29,379.4739990234375,1.0936970710754395,4263.0,164.1851348876953,384.3789978027344,1.0947147607803345,4271.25,164.32074413134808,365.4519958496094,1.082000494003296,4129.0,160.9305906344845,380.1080017089844,1.0936970710754395,4135.0,161.04924548957837,86125296,0.0,328862.0,210529300.0
2016-01-30,378.2550048828125,,,,380.9169921875,,,,376.4909973144531,,,,378.864990234375,,,,30284400,,,
2016-01-31,368.7669982910156,,,,380.34698486328125,,,,367.8349914550781,,,,378.2929992675781,,,,37894300,,,
2016-02-01,373.0559997558594,1.0825908184051514,4291.5,164.1257781982422,378.0719909667969,1.091200351715088,4309.25,164.913995501639,367.9570007324219,1.0826259851455688,4228.5,162.59173602316258,369.3500061035156,1.0826259851455688,4263.25,163.1765394893327,51656700,0.0,263363.0,136061600.0
2016-02-02,374.447998046875,1.0897282361984253,4192.0,161.16793823242188,375.88299560546875,1.0939997434616089,4287.0,162.70198098119363,372.9200134277344,1.0895264148712158,4170.75,160.64245552283796,372.9200134277344,1.0898945331573486,4286.5,162.6935102511275,40378700,0.0,314726.0,182564900.0
2016-02-03,369.9490051269531,1.0922038555145264,4171.5,162.13409423828125,374.95001220703125,1.107800006866455,4215.0,162.5409090384971,368.0450134277344,1.0906004905700684,4090.5,158.57443563847164,374.64599609375,1.0922038555145264,4186.0,162.22732397712335,45933400,0.0,484500.0,205054900.0
2016-02-04,389.593994140625,1.1091023683547974,4155.75,162.38836669921875,391.6080017089844,1.1238000392913818,4206.5,163.3630307107808,369.9930114746094,1.107200264930725,4113.5,160.99840420553886,370.17401123046875,1.1092008352279663,4169.75,161.63405802153412,69285504,0.0,383175.0,139531800.0
2016-02-05,386.54901123046875,1.119996428489685,4022.0,159.29483032226562,391.093994140625,1.1217050552368164,4173.5,162.44767401937784,385.5719909667969,1.1110000610351562,4001.0,158.65917655966086,388.89801025390625,1.119996428489685,4146.5,161.87135414883915,43825000,0.0,443077.0,180788300.0
